trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-133.8225989405742,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-35.957932317392284,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",30,0,-176.74940188837138,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-82.46210695424412,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-183.235844378049,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,7,0.23868311855954039,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,14,-36.60070860321339,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",30,0,-161.87402526120948,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,4,-23.46329082300385,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-165.5772957271637,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-68.50645700292621,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,0,-23.492776431476095,"{0: 24, 1: 4, 2: 1, 3: 1, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-61.64198808146328,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,13,1.5619642277709778,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,0.37305978277299456,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-161.33147711450084,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-31.47413421299521,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",25,0,-71.08592979235264,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
